title,price,location_date,link
Lenovo tablet folia na ekran 1szt. Nowa.,9,"Szczecin, Gumieńce - 08 czerwca 2025",https://www.olx.pl/d/oferta/lenovo-tablet-folia-na-ekran-1szt-nowa-CID99-IDj0idP.html
"Oryginalny zasilacz Lenovo i do innych / 120W 19,5V 6,15A",25,"Warszawa, Targówek - 09 czerwca 2025",https://www.olx.pl/d/oferta/oryginalny-zasilacz-lenovo-i-do-innych-120w-19-5v-6-15a-CID99-ID15ItXe.html
Zasilacz do laptopa Lenovo,29,"Będzin, Boleradz - 18 czerwca 2025",https://www.olx.pl/d/oferta/zasilacz-do-laptopa-lenovo-CID99-ID15Su8T.html
"Zasilacz do laptopa Lenovo IBM AC-ADAPTER 45W 20V 2,25A ładowarka",30,"Warszawa, Wola - 05 czerwca 2025",https://www.olx.pl/d/oferta/zasilacz-do-laptopa-lenovo-ibm-ac-adapter-45w-20v-2-25a-ladowarka-CID99-ID15HyiH.html
Pamięć RAM Laptop RAMAXEL 8GB 1Rx8 PC4-2666V-SA1-11,35,Cianowice - 20 czerwca 2025,https://www.olx.pl/d/oferta/pamiec-ram-laptop-ramaxel-8gb-1rx8-pc4-2666v-sa1-11-CID99-ID16jeYg.html
Zasilacz ładowarka lenovo do laptop notebook,40,"Warszawa, Ochota - 23 czerwca 2025",https://www.olx.pl/d/oferta/zasilacz-ladowarka-lenovo-do-laptop-notebook-CID99-ID146PAk.html
(7) laptop Lenovo T61,44,Rzeszów - 25 czerwca 2025,https://www.olx.pl/d/oferta/7-laptop-lenovo-t61-CID99-ID16n1gq.html
Zasilacz Zasilacze Firmowe do Laptopa ASUS ACER Dell Lenovo HP i inne,49,"Katowice, Szopienice-Burowiec - 22 czerwca 2025",https://www.olx.pl/d/oferta/zasilacz-zasilacze-firmowe-do-laptopa-asus-acer-dell-lenovo-hp-i-inne-CID99-ID14AtBl.html
Zasilacz Lenovo orginalny do laptopa,49,"Gdańsk, Jasień - 05 czerwca 2025",https://www.olx.pl/d/oferta/zasilacz-lenovo-orginalny-do-laptopa-CID99-ID12oI0k.html
Bateria do laptopa,50,Nowe - 24 czerwca 2025,https://www.olx.pl/d/oferta/bateria-do-laptopa-CID99-ID16mOrp.html
Laptop Lenovo G50-45,50,Pruszcz Gdański - 19 czerwca 2025,https://www.olx.pl/d/oferta/laptop-lenovo-g50-45-CID99-ID16iQW4.html
Ładowarka do laptopa lenovo,50,Nowe Kamienice - 15 czerwca 2025,https://www.olx.pl/d/oferta/ladowarka-do-laptopa-lenovo-CID99-ID130j3p.html
Ładowarka do laptopa Lenovo,50,"Warszawa, Ochota - 19 czerwca 2025",https://www.olx.pl/d/oferta/ladowarka-do-laptopa-lenovo-CID99-ID15iNrl.html
laptop Lenovo ThinkPad T430s: Intel Core i7,55,Rzeszów - 18 czerwca 2025,https://www.olx.pl/d/oferta/laptop-lenovo-thinkpad-t430s-intel-core-i7-CID99-ID15TDY2.html
"Ładowarka, zasilacz Lenovo do laptopa 65W 20V",60,"Kraków, Mistrzejowice - 26 czerwca 2025",https://www.olx.pl/d/oferta/ladowarka-zasilacz-lenovo-do-laptopa-65w-20v-CID99-ID14EmS5.html
"Nowa ładowarka, zasilacz USB C 65W Lenovo. Do laptopów.",60,"Warszawa, Bielany - 25 czerwca 2025",https://www.olx.pl/d/oferta/nowa-ladowarka-zasilacz-usb-c-65w-lenovo-do-laptopow-CID99-ID15qa39.html
